,Unnamed: 0,area_type,location,size,society,total_sqft,bath,balcony,price
7941,8135,Super built-up  Area,Whitefield,2 BHK,Prtates,1216,2.0,1.0,75.0
10785,11165,Super built-up  Area,Kodipalya,1 BHK,,418,1.0,1.0,17.0
4164,4219,Super built-up  Area,8th Phase JP Nagar,2 BHK,,1059,2.0,2.0,34.5
11223,11634,Super built-up  Area,Horamavu Agara,2 BHK,Suise S,1220,2.0,2.0,39.0
5971,6096,Plot  Area,Banashankari Stage II,2 BHK,,500,2.0,1.0,55.0
3579,3618,Built-up  Area,B Narayanapura,3 BHK,ShentAp,1405,2.0,2.0,70.0
2832,2859,Super built-up  Area,Basavangudi,2 BHK,Tinori ,1036,2.0,2.0,105.0
5449,5546,Super built-up  Area,Gokaula Extension,3 BHK,,1500,2.0,1.0,90.0
3472,3511,Plot  Area,Uttarahalli,7 BHK,,1200,7.0,2.0,225.0
6327,6464,Built-up  Area,Banashankari,3 BHK,V2anags,1300,2.0,2.0,55.0
137,137,Super built-up  Area,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005
7043,7203,Super built-up  Area,sarjapura main road,4 BHK,,2400,4.0,3.0,250.0
4892,4970,Super built-up  Area,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,96.0
2180,2192,Super built-up  Area,Sarjapur  Road,3 BHK,PualeSk,1929,4.0,1.0,103.0
10320,10665,Super built-up  Area,Rajaji Nagar,3 BHK,PhestOn,2367,4.0,3.0,340.0
7730,7915,Carpet  Area,Hommadevanahalli,2 BHK,,927,2.0,1.0,50.0
3177,3213,Built-up  Area,Syndicate Bank Colony,3 BHK,,1200,3.0,2.0,66.0
4854,4929,Plot  Area,Yemlur,8 BHK,Epllan ,12000,9.0,,1900.0
4637,4704,Super built-up  Area,Electronic City,3 BHK,Sie 2is,1105,2.0,1.0,35.0
5115,5201,Super built-up  Area,Kanakpura Road,1 BHK,GolusLi,670,1.0,1.0,35.0
11896,12354,Built-up  Area,Vidyaranyapura,4 BHK,,2400,5.0,1.0,135.0
7648,7832,Built-up  Area,Hegde Nagar,4 BHK,Sotosty,3750,6.0,2.0,375.0
4261,4317,Built-up  Area,Tata Nagar,3 BHK,Karchru,1500,3.0,2.0,70.0
1331,1335,Super built-up  Area,Whitefield,2 BHK,Umods W,1280,2.0,1.0,75.0
10209,10547,Super built-up  Area,Kadubeesanahalli,2 BHK,Saisei ,1185,2.0,3.0,55.0
10674,11047,Super built-up  Area,Hennur Road,3 BHK,ChionCo,1748,3.0,,103.0
7002,7161,Plot  Area,Hennur,3 BHK,,1000,3.0,1.0,130.0
9550,9855,Super built-up  Area,B Narayanapura,2 BHK,Prionve,1075,2.0,2.0,50.0
6941,7100,Super built-up  Area,Chandapura,2 BHK,SuVue S,950,2.0,1.0,25.65
8017,8218,Super built-up  Area,Mallathahalli,3 BHK,,1320,2.0,2.0,55.0
6241,6377,Built-up  Area,Kurubarahalli,1 BHK,,1200,1.0,0.0,69.0
9521,9825,Super built-up  Area,Kadugodi,3 BHK,Alestrb,1890,4.0,3.0,125.0
12772,13297,Super built-up  Area,Electronic City,2 BHK,GMown E,1060,2.0,1.0,52.0
6881,7039,Built-up  Area,Kumara Park,2 BHK,,1150,2.0,0.0,250.0
10342,10690,Built-up  Area,Banashankari Stage II,3 BHK,,1200,2.0,1.0,198.0
4530,4594,Super built-up  Area,Hegde Nagar,4 BHK,SoisoCa,3216,5.0,2.0,300.0
10314,10659,Built-up  Area,Jalahalli,2 BHK,,1000,2.0,0.0,70.0
4673,4740,Super built-up  Area,Ananth Nagar,2 BHK,,870,2.0,2.0,36.0
6996,7155,Super built-up  Area,Whitefield,4 BHK,Toindls,5924,4.0,3.0,625.0
1252,1255,Plot  Area,Whitefield,4 BHK,Pronege,4800,4.0,3.0,525.0
11470,11899,Super built-up  Area,Devanahalli,3 BHK,Cerdsga,1290,2.0,1.0,62.0
3374,3413,Super built-up  Area,Nehru Nagar,4 BHK,Undge T,2363,5.0,2.0,120.0
2814,2840,Super built-up  Area,Garudachar Palya,3 BHK,,1295,2.0,1.0,59.5
4719,4788,Super built-up  Area,Chikkakannalli,3 BHK,,1402,2.0,2.0,85.0
6544,6688,Super built-up  Area,Electronics City Phase 1,2 BHK,Shitt S,1175,2.0,2.0,64.98
10040,10369,Super built-up  Area,Bellandur,2 BHK,Goner C,1049,2.0,1.0,51.0
4858,4933,Super built-up  Area,Kempegowda Nagar,3 BHK,Srowsrj,1665,3.0,2.0,105.0
7901,8094,Super built-up  Area,Vijayanagar,2 BHK,Saityat,1180,2.0,1.0,86.0
11229,11640,Super built-up  Area,Varthur,3 BHK,Caiseur,1560,3.0,2.0,90.0
8580,8818,Super built-up  Area,Doddathoguru,3 BHK,,1300,2.0,1.0,42.0
8427,8657,Super built-up  Area,A Narayanapura,1 BHK,,600,2.0,1.0,35.0
1077,1078,Plot  Area,BTM 1st Stage,9 BHK,Srvasks,3300,14.0,,500.0
10176,10512,Plot  Area,R.T. Nagar,2 BHK,,1500,2.0,0.0,230.0
4363,4422,Built-up  Area,Bellandur,4 BHK,Vaodssh,3600,4.0,0.0,260.0
770,770,Plot  Area,Sector 3 HSR Layout,9 BHK,,600,9.0,3.0,190.0
10357,10706,Super built-up  Area,Anwar Layout,1 BHK,UKicte ,660 - 780,1.0,0.0,32.39
8865,9128,Built-up  Area,Thigalarapalya,4 BHK,Prtanha,3362,5.0,2.0,249.0
249,249,Super built-up  Area,OMBR Layout,3 BHK,Inntsa ,2420,3.0,2.0,185.0
9766,10081,Super built-up  Area,Electronic City,2 BHK,MVnexde,890,2.0,1.0,40.0
7239,7409,Super built-up  Area,HSR Layout,2 BHK,NRosete,1145,2.0,2.0,46.0
3419,3458,Super built-up  Area,Mallasandra,3 BHK,Puestig,1665,3.0,2.0,86.91
10273,10615,Super built-up  Area,Budigere,2 BHK,PrityTr,1153,2.0,2.0,60.0
10015,10344,Super built-up  Area,Thirupalya,2 BHK,Pao 2Sm,1025,2.0,1.0,65.0
4976,5057,Super built-up  Area,Uttarahalli,3 BHK,,1320,2.0,3.0,55.44
4544,4608,Super built-up  Area,Nagavarapalya,3 BHK,Giconal,1300,3.0,1.0,80.0
5565,5666,Plot  Area,Lakkasandra,7 BHK,,1500,6.0,0.0,210.0
7939,8133,Super built-up  Area,Padmanabhanagar,3 BHK,,1350,3.0,1.0,71.55
716,716,Super built-up  Area,Gubbalala,3 BHK,MauilTr,1470,2.0,2.0,82.0
12353,12847,Super built-up  Area,Rajaji Nagar,2 BHK,Brway G,1440,2.0,2.0,165.0
2048,2058,Super built-up  Area,Hoskote,3 BHK,Deiveer,1250,3.0,2.0,50.0
5997,6123,Super built-up  Area,Akshaya Nagar,3 BHK,DLhtsnd,2300,4.0,3.0,102.0
6600,6747,Super built-up  Area,Sarjapur  Road,2 BHK,SJityaz,1308,2.0,1.0,58.86
7245,7415,Built-up  Area,Anandapura,2 BHK,,1200,2.0,0.0,58.0
4178,4233,Super built-up  Area,Begur Road,4 BHK,,2462,4.0,3.0,124.0
4809,4880,Super built-up  Area,Thanisandra,3 BHK,R ra  R,1922,3.0,3.0,106.0
10916,11303,Built-up  Area,Gubbalala,6 BHK,,2500,6.0,1.0,88.0
12130,12603,Super built-up  Area,Whitefield,3 BHK,Prtates,2321,4.0,1.0,157.0
7140,7307,Super built-up  Area,Crimson Layout,2 BHK,ARntyne,1250,2.0,2.0,60.0
7190,7358,Super built-up  Area,1st Block Jayanagar,2 BHK,,1235,2.0,2.0,148.0
1460,1466,Plot  Area,Kengeri Satellite Town ( BDA SITE),4 BHK,,1600,3.0,1.0,172.0
5989,6115,Super built-up  Area,Whitefield,2 BHK,Veale R,1355,3.0,3.0,76.0
9860,10182,Super built-up  Area,Whitefield,3 BHK,PaantPl,1530,3.0,3.0,73.0
10948,11339,Super built-up  Area,Old Airport Road,2 BHK,VSletes,1184,2.0,1.0,78.0
2000,2009,Super built-up  Area,Gottigere,3 BHK,,1600,2.0,2.0,55.0
8175,8388,Super built-up  Area,Horamavu Agara,2 BHK,DSireSo,1000,2.0,1.0,46.0
404,404,Super built-up  Area,7th Phase JP Nagar,2 BHK,BriumMi,1175,2.0,1.0,82.0
384,384,Built-up  Area,Kengeri,2 BHK,,1000,2.0,1.0,25.0
12083,12554,Super built-up  Area,Budigere,3 BHK,PrityTr,1636,3.0,2.0,88.0
12136,12609,Super built-up  Area,Dodda Banaswadi,3 BHK,,1650,3.0,2.0,78.0
10344,10692,Super built-up  Area,Gunjur Palya,2 BHK,Evvan V,993,2.0,2.0,42.0
1633,1640,Super built-up  Area,Mysore Road,2 BHK,Srkha S,1060,2.0,1.0,62.0
12224,12708,Plot  Area,Banashankari Stage VI,4 BHK,,4800,3.0,2.0,200.0
4784,4855,Built-up  Area,R.T. Nagar,2 BHK,Sants A,800,1.0,0.0,170.0
12097,12569,Super built-up  Area,Kathriguppe,2 BHK,,1250,2.0,1.0,68.75
6970,7129,Built-up  Area,Yelahanka,2 BHK,Velas V,1315,2.0,3.0,75.0
3925,3977,Plot  Area,1st Block Koramangala,4 BHK,,2360,4.0,2.0,600.0
4158,4213,Super built-up  Area,Kengeri Satellite Town,2 BHK,Mameser,635,1.0,1.0,22.0
7449,7628,Super built-up  Area,Old Madras Road,2 BHK,Brglede,1210,2.0,1.0,80.0
8415,8644,Built-up  Area,Kaval Byrasandra,2 BHK,ApallEn,1180,2.0,2.0,60.0
2193,2205,Super built-up  Area,Thanisandra,3 BHK,Soitya ,1847,3.0,2.0,123.0
11328,11744,Super built-up  Area,Binny Pete,3 BHK,Shestlo,2406,5.0,2.0,289.0
10016,10345,Built-up  Area,Marathahalli,2 BHK,VRave E,1156,2.0,2.0,52.0
1015,1016,Built-up  Area,Attibele,1 BHK,Jae 1hu,400,1.0,1.0,12.0
5124,5210,Built-up  Area,Kanakpura Road,2 BHK,PuandHi,1340,2.0,2.0,60.0
7418,7596,Super built-up  Area,Vivek Nagar,8 BHK,,3000,4.0,3.0,130.0
7409,7587,Plot  Area,CV Raman Nagar,4 BHK,,1100,4.0,2.0,220.0
8989,9256,Super built-up  Area,Marathahalli,3 BHK,RookaJh,1720,3.0,,175.0
2871,2898,Super built-up  Area,Varthur,2 BHK,Maine J,977,2.0,2.0,36.0
9,9,Plot  Area,Gandhi Bazar,6 BHK,,1020,6.0,,370.0
10136,10470,Super built-up  Area,Domlur,2 BHK,IBictnd,1276,2.0,2.0,80.0
1838,1847,Super built-up  Area,4th Block Koramangala,2 BHK,EvestPi,1225,2.0,2.0,150.0
4804,4875,Super built-up  Area,Doddabanahalli,2 BHK,,830,2.0,2.0,37.0
255,255,Plot  Area,Horamavu Agara,4 BHK,,1200,2.0,0.0,95.0
7026,7185,Plot  Area,Hosa Road,3 BHK,,675,3.0,1.0,70.0
5713,5820,Built-up  Area,Kengeri Satellite Town,2 BHK,Malowr ,800,2.0,1.0,40.0
3324,3363,Super built-up  Area,Kaval Byrasandra,3 BHK,,2400,2.0,0.0,50.0
7714,7899,Super built-up  Area,Bommasandra,2 BHK,DSoodil,1127,2.0,1.0,45.0
1581,1588,Super built-up  Area,Whitefield,2 BHK,Asarqz ,1277,2.0,1.0,61.3
11148,11553,Built-up  Area,Gubbalala,4 BHK,,4000,5.0,1.0,195.0
924,924,Super built-up  Area,Yelahanka,3 BHK,,1590,2.0,1.0,54.0
2779,2805,Super built-up  Area,Kasavanhalli,3 BHK,,1555,3.0,2.0,82.5
10700,11075,Built-up  Area,Kengeri,8 BHK,,3000,5.0,,130.0
7891,8084,Super built-up  Area,Akshaya Nagar,3 BHK,DLhtsnd,1419,2.0,3.0,87.0
6132,6261,Super built-up  Area,Maithri Layout,3 BHK,Lalipa ,1540,3.0,3.0,76.0
5320,5409,Super built-up  Area,Haralur Road,3 BHK,NDionas,2017,2.0,2.0,125.0
7312,7485,Super built-up  Area,Sarjapur,2 BHK,DSousyl,1124,2.0,1.0,30.35
7102,7267,Built-up  Area,R.T. Nagar,3 BHK,,1380,2.0,1.0,50.0
6042,6169,Plot  Area,HRBR Layout,6 BHK,,1000,6.0,3.0,275.0
3775,3821,Built-up  Area,KR Puram,2 BHK,,1100,2.0,1.0,46.0
4835,4908,Built-up  Area,Talaghattapura,3 BHK,Sodgere,2254,3.0,2.0,170.0
4964,5045,Super built-up  Area,Sai Gardens,2 BHK,,1120,2.0,2.0,40.0
10971,11364,Plot  Area,TC Palaya,5 BHK,,1440,5.0,2.0,97.0
539,539,Built-up  Area,7th Block Jayanagar,5 BHK,,3000,3.0,1.0,528.0
7483,7664,Super built-up  Area,Subramanyapura,3 BHK,Prldsri,1278,2.0,2.0,59.0
2745,2770,Plot  Area,Banashankari Stage VI,4 BHK,,2200,4.0,2.0,195.0
3719,3762,Super built-up  Area,Hosur Road,3 BHK,Saageat,1590,2.0,2.0,135.0
6819,6973,Super built-up  Area,Tumkur Road,3 BHK,Soubya ,1459,2.0,1.0,95.0
9337,9627,Super built-up  Area,Keshava Nagar,3 BHK,ETens G,1623,3.0,3.0,155.0
4468,4530,Super built-up  Area,Sarjapur  Road,2 BHK,Contsci,1418,2.0,2.0,78.0
667,667,Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1141,2.0,2.0,38.55
7575,7756,Super built-up  Area,Hebbal,4 BHK,Raard B,2470,4.0,2.0,203.0
11211,11621,Super built-up  Area,Kasavanhalli,2 BHK,Bhensa ,1245,2.0,2.0,80.0
8549,8785,Built-up  Area,Kengeri,2 BHK,,883,2.0,0.0,49.0
5063,5147,Plot  Area,Konanakunte,4 BHK,,1200,2.0,1.0,130.0
11023,11418,Super built-up  Area,Shivaji Nagar,3 BHK,,1460,2.0,1.0,90.0
10975,11368,Built-up  Area,Sarjapur,2 BHK,Sondaka,950,2.0,2.0,35.0
1353,1357,Super built-up  Area,Benson Town,3 BHK,,3200,4.0,,350.0
7114,7279,Super built-up  Area,ITPL,2 BHK,,1000,2.0,1.0,29.95
12504,13006,Carpet  Area,Kereguddadahalli,3 BHK,Jaood G,1280,3.0,1.0,42.0
8662,8907,Super built-up  Area,Whitefield,2 BHK,Prtates,1216,2.0,1.0,72.5
2703,2725,Super built-up  Area,Harlur,2 BHK,,1152,2.0,2.0,69.0
3330,3369,Built-up  Area,Banashankari,3 BHK,Naashi ,1350,2.0,0.0,83.0
8053,8258,Super built-up  Area,Brookefield,2 BHK,Saandvi,1089,2.0,1.0,49.0
11829,12283,Super built-up  Area,Kanakpura Road,3 BHK,,1450,3.0,3.0,53.6
9588,9896,Super built-up  Area,Malleshwaram,1 BHK,,620,1.0,1.0,86.8
3584,3623,Super built-up  Area,Byrasandra,2 BHK,Sancy R,985,2.0,1.0,63.0
12075,12545,Built-up  Area,Anjanapura,2 BHK,ACopsva,950,2.0,0.0,30.0
5645,5749,Plot  Area,Hennur Road,4 BHK,,2400,5.0,3.0,390.0
3376,3415,Super built-up  Area,Jakkur,3 BHK,SoineC ,1950,3.0,2.0,131.0
1256,1259,Super built-up  Area,Sarjapur  Road,2 BHK,Shthi S,1035,2.0,1.0,45.0
6190,6320,Super built-up  Area,Yeshwanthpur,3 BHK,IBityin,1678,3.0,,92.13
11704,12149,Super built-up  Area,Mallasandra,3 BHK,ShnyeSy,1524,2.0,3.0,72.0
9442,9743,Super built-up  Area,Sultan Palaya,2 BHK,Vaaldak,1009,2.0,1.0,65.0
5348,5440,Super built-up  Area,Kothannur,3 BHK,,1275,2.0,2.0,39.8
11003,11397,Super built-up  Area,Hormavu,2 BHK,,980,2.0,2.0,42.0
11476,11905,Super built-up  Area,Electronic City Phase II,3 BHK,Sryalan,1310,2.0,1.0,37.84
11125,11528,Super built-up  Area,Thanisandra,2 BHK,Bhe 2ko,1245,2.0,1.0,83.05
4175,4230,Super built-up  Area,Jalahalli West,2 BHK,,1355,2.0,3.0,75.0
4910,4988,Super built-up  Area,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,50.5
1852,1861,Super built-up  Area,Kogilu,2 BHK,,1140,2.0,1.0,50.66
6316,6453,Built-up  Area,Rajaji Nagar,3 BHK,PhestOn,2300,3.0,3.0,369.0
12608,13122,Built-up  Area,Somasundara Palya,3 BHK,Srhts P,2300,2.0,0.0,70.0
2105,2116,Super built-up  Area,Hoodi,3 BHK,GoAirej,1837,3.0,3.0,145.0
133,133,Plot  Area,Ramaswamy Palya - Kammanahalli Main Road,4 BHK,,1200,4.0,0.0,210.0
5029,5112,Plot  Area,Housing Board Layout Vijay Nagar,8 BHK,,1200,8.0,2.0,220.0
928,928,Super built-up  Area,Bellandur,5 BHK,,4239,5.0,2.0,423.0
823,823,Super built-up  Area,Rachenahalli,4 BHK,Leino C,3670,4.0,3.0,300.0
7576,7757,Built-up  Area,Maruthi Nagar,2 BHK,PavanSa,850,1.0,0.0,35.5
11632,12070,Plot  Area,9th Block Jayanagar,4 BHK,,1440,4.0,1.0,240.0
1531,1538,Super built-up  Area,Konanakunte,3 BHK,A rtsai,1400,2.0,1.0,73.0
1214,1217,Super built-up  Area,Vasanth nagar,3 BHK,Siace P,1560,3.0,1.0,188.0
504,504,Built-up  Area,Shampura,1 BHK,,375,2.0,0.0,26.0
10188,10525,Super built-up  Area,7th Phase JP Nagar,3 BHK,,2095,3.0,2.0,150.0
6530,6674,Plot  Area,Kadabagere,4 BHK,,1200,4.0,2.0,86.0
3072,3104,Super built-up  Area,Nagavara,3 BHK,,2430,4.0,3.0,180.0
10150,10486,Super built-up  Area,Sarjapur  Road,3 BHK,Ahriaup,1881,3.0,2.0,145.0
9576,9884,Built-up  Area,Sahakara Nagar,2 BHK,,1200,2.0,2.0,60.0
9086,9363,Super built-up  Area,Balagere,1 BHK,Soresea,656,1.0,1.0,38.77
8647,8892,Super built-up  Area,Hebbal,2 BHK,,1040,2.0,1.0,55.0
6619,6768,Super built-up  Area,Sarjapur  Road,2 BHK,Adeatlm,1320,2.0,2.0,115.0
9273,9563,Super built-up  Area,Yelahanka,3 BHK,Aduil T,1823,3.0,2.0,103.0
3709,3752,Built-up  Area,Marathahalli,2 BHK,PueraRi,1325,1.0,1.0,92.0
12266,12752,Plot  Area,Uday Nagar,6 BHK,,1200,6.0,0.0,85.0
4849,4924,Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140,2.0,2.0,38.65
4748,4818,Plot  Area,KR Puram,2 BHK,,1000,2.0,0.0,60.0
4268,4324,Super built-up  Area,Amruthahalli,2 BHK,,1200,2.0,1.0,55.0
11714,12160,Super built-up  Area,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,69.0
11794,12247,Super built-up  Area,CV Raman Nagar,2 BHK,,907,2.0,2.0,38.0
12638,13159,Super built-up  Area,Talaghattapura,3 BHK,Sodgere,2265,3.0,3.0,159.0
8905,9170,Plot  Area,Banashankari Stage III,4 BHK,,1050,3.0,0.0,147.0
4186,4241,Plot  Area,Anjanapura,3 BHK,,1500,3.0,1.0,121.0
10406,10756,Super built-up  Area,Sarjapur  Road,4 BHK,Maana E,3930,5.0,2.0,330.0
5301,5390,Super built-up  Area,Garudachar Palya,2 BHK,,1060,2.0,1.0,48.5
2923,2950,Plot  Area,8th block Koramangala,3 BHK,,2400,3.0,2.0,290.0
6588,6735,Super built-up  Area,Koramangala,3 BHK,Ansna K,1500,3.0,1.0,135.0
1810,1819,Super built-up  Area,Kengeri,3 BHK,,1188,2.0,2.0,38.0
3486,3525,Plot  Area,Yelahanka New Town,2 BHK,KHatsFl,1200,2.0,1.0,130.0
7419,7597,Built-up  Area,Kumaraswami Layout,4 BHK,,2600,4.0,0.0,325.0
3141,3175,Built-up  Area,Uttarahalli,3 BHK,,1250,2.0,1.0,55.0
10019,10348,Super built-up  Area,Hegde Nagar,3 BHK,SoitaCa,1930,4.0,2.0,122.0
9347,9637,Super built-up  Area,Sarjapur  Road,2 BHK,SJityaz,1242,2.0,1.0,75.0
1324,1328,Super built-up  Area,Haralur Road,2 BHK,RInceeg,1140,2.0,2.0,43.0
4312,4370,Super built-up  Area,Sector 1 HSR Layout,3 BHK,SodilDa,1533,3.0,2.0,150.0
7494,7675,Super built-up  Area,Rajaji Nagar,2 BHK,PhestOn,1763,3.0,2.0,262.0
8702,8948,Plot  Area,Shingapura,1 BHK,,1350,2.0,0.0,45.0
9872,10195,Built-up  Area,Annapurneshwari Nagar,4 BHK,,2400,4.0,1.0,150.0
8691,8936,Super built-up  Area,Ramagondanahalli,3 BHK,ViistLa,1635,3.0,1.0,61.0
12155,12630,Super built-up  Area,Devasthanagalu,2 BHK,CMhidal,1057,2.0,1.0,42.0
10048,10378,Super built-up  Area,Magadi Road,3 BHK,Vrenty ,1318,2.0,1.0,68.0
9580,9888,Super built-up  Area,Whitefield,4 BHK,Goted U,2956,5.0,,234.0
11911,12371,Super built-up  Area,Ankappa Layout,3 BHK,Siuntar,1425,2.0,2.0,65.0
10578,10945,Super built-up  Area,Divya Unnathi Layout,2 BHK,,1339,2.0,1.0,53.56
5541,5642,Plot  Area,Ramamurthy Nagar,2 BHK,,1200,2.0,1.0,76.0
11428,11852,Super built-up  Area,Hennur Road,3 BHK,Maity W,1305,2.0,1.0,77.0
6172,6301,Built-up  Area,Kasavanhalli,3 BHK,,1667,3.0,2.0,92.0
1540,1547,Super built-up  Area,Doddakallasandra,2 BHK,,1010,2.0,1.0,40.39
9409,9705,Built-up  Area,Sanne Amanikere,3 BHK,Hoxiaa ,1455,2.0,1.0,45.0
2681,2703,Super built-up  Area,Ambedkar Nagar,3 BHK,,1936,4.0,2.0,126.0
12642,13163,Built-up  Area,Kaggadasapura,2 BHK,Mancya ,1150,2.0,2.0,45.0
11185,11592,Built-up  Area,"Kanakapura Road, ",3 BHK,,1884,3.0,2.0,95.0
6313,6450,Plot  Area,Lakshmipura,2 BHK,,1200,2.0,0.0,75.0
1191,1194,Built-up  Area,Doddakallasandra,2 BHK,,1233,2.0,2.0,43.0
5293,5382,Super built-up  Area,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,34.735
1542,1549,Super built-up  Area,HSR Layout,3 BHK,Klort C,1750,3.0,2.0,95.0
11493,11923,Super built-up  Area,pavitra paradise,3 BHK,,2200,2.0,1.0,190.0
11516,11947,Super built-up  Area,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,41.0
7056,7216,Super built-up  Area,Hormavu,2 BHK,SLtraks,1143,2.0,1.0,53.0
2539,2557,Built-up  Area, Anekal,1 RK,,351,1.0,1.0,16.0
953,953,Plot  Area,Yelahanka,4 BHK,Aaire S,3206,5.0,,270.0
7241,7411,Super built-up  Area,Thanisandra,2 BHK,Bhmesy ,1265,2.0,1.0,83.0
6731,6882,Built-up  Area,Kereguddadahalli,2 BHK,Jaood G,1080,2.0,2.0,32.0
4846,4921,Super built-up  Area,Dodda Nekkundi,2 BHK,,1155,2.0,1.0,46.0
6801,6955,Super built-up  Area,Choodasandra,3 BHK,Aharlve,1254,2.0,1.0,65.0
8010,8209,Built-up  Area,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1133,2.0,1.0,38.37
4330,4388,Super built-up  Area,Kereguddadahalli,2 BHK,Jaood G,1000,2.0,2.0,30.0
8924,9189,Super built-up  Area,Whitefield,2 BHK,Viaree ,1205,2.0,2.0,58.0
5334,5424,Super built-up  Area,HSR Layout,3 BHK,SrisePo,2400,3.0,3.0,88.0
7330,7503,Built-up  Area,Kudlu,3 BHK,GKityde,1600,3.0,3.0,79.0
9348,9638,Super built-up  Area,Yelahanka,3 BHK,Miitat ,1792,3.0,1.0,104.0
4729,4798,Super built-up  Area,Somasundara Palya,3 BHK,,1575,3.0,3.0,68.0
11486,11916,Built-up  Area,Electronic City,2 BHK,GMown E,1070,2.0,1.0,60.0
6541,6685,Super built-up  Area,Yelahanka,3 BHK,,1075,2.0,2.0,36.0
11174,11580,Built-up  Area,Mahalakshmi Layout,2 BHK,,1080,2.0,1.0,67.0
5305,5394,Super built-up  Area,Varthur,2 BHK,Myple M,1070,2.0,2.0,46.0
5161,5248,Super built-up  Area,Kadugodi,2 BHK,Prclee ,1030,2.0,1.0,35.02
7860,8053,Super built-up  Area,Uttarahalli,2 BHK,SLnssPr,1155,2.0,2.0,40.43
2156,2168,Plot  Area,Ganga Nagar,3 BHK,,720,3.0,3.0,65.0
1062,1063,Plot  Area,2nd Stage Nagarbhavi,6 BHK,,3000,8.0,3.0,451.0
10808,11189,Built-up  Area,TC Palaya,2 BHK,,1082,2.0,2.0,64.0
1167,1170,Built-up  Area,Manayata Tech Park,3 BHK,,2400,3.0,2.0,170.0
11414,11838,Plot  Area,Ullal Uppanagar,2 BHK,,1200,2.0,0.0,82.0
3636,3676,Super built-up  Area,Marathahalli,2 BHK,,1208,2.0,2.0,70.0
7651,7835,Super built-up  Area,Sarjapur  Road,2 BHK,DSndsod,1320,2.0,1.0,100.0
5588,5690,Built-up  Area,Electronic City,3 BHK,,1650,3.0,2.0,100.0
11130,11533,Super built-up  Area,Kannamangala,3 BHK,Sonue A,1814,3.0,1.0,129.0
7192,7360,Super built-up  Area,M V Extenstion,6 BHK,,900,5.0,,100.0
4491,4555,Built-up  Area,Mallathahalli,3 BHK,Viers S,1225,3.0,3.0,60.0
7266,7436,Plot  Area,Marathahalli,2 BHK,,1200,1.0,1.0,103.0
11332,11750,Plot  Area,Ramanagara Channapatna,4 BHK,,1200,2.0,1.0,75.0
4980,5061,Plot  Area,Mahalakshmi Puram,4 BHK,,750,4.0,0.0,85.0
8335,8556,Super built-up  Area,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,2.0,58.56
12727,13249,Plot  Area,KR Puram,2 BHK,Anncyar,1200,2.0,0.0,75.0
11769,12222,Super built-up  Area,Jakkur,3 BHK,BrdgeNo,1660,3.0,2.0,104.0
4946,5025,Super built-up  Area,Badavala Nagar,3 BHK,DNncasa,1494,2.0,2.0,94.55
2782,2808,Built-up  Area,Chikkalasandra,2 BHK,KsonsCa,1070,2.0,2.0,50.0
717,717,Super built-up  Area,Kengeri,2 BHK,,1160,2.0,2.0,40.61
10011,10340,Built-up  Area,Electronic City,2 BHK,,1025,2.0,1.0,29.61
2502,2519,Built-up  Area,Kodichikkanahalli,5 BHK,,2700,7.0,2.0,125.0
4360,4418,Built-up  Area,Panathur,2 BHK,,1000,2.0,1.0,68.0
4171,4226,Super built-up  Area,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,34.385
8082,8288,Plot  Area,Devara Jeevanahalli,4 BHK,,400,2.0,2.0,35.0
12486,12988,Built-up  Area,Electronic City Phase II,2 BHK,Assha A,545,1.0,1.0,28.0
395,395,Built-up  Area,Doddathoguru,2 BHK,S onsMa,1050,2.0,1.0,32.0
7186,7354,Super built-up  Area,Cholanayakanahalli,4 BHK,,2000,4.0,1.0,135.0
12565,13075,Built-up  Area,Hebbal,3 BHK,,2250,3.0,,219.0
4492,4556,Super built-up  Area,Marathahalli,2 BHK,,1220,2.0,1.0,58.5
1365,1369,Built-up  Area,BEML Layout,2 BHK,,999,2.0,3.0,45.0
12688,13209,Super built-up  Area,Nagappa Reddy Layout,3 BHK,Ablmsol,1500,2.0,3.0,78.0
8787,9041,Super built-up  Area,Kasavanhalli,3 BHK,HMonymp,1476,3.0,0.0,105.0
12144,12617,Super built-up  Area,Banashankari,3 BHK,,1340,2.0,2.0,53.6
5917,6038,Built-up  Area,Hosakerehalli,8 BHK,,3600,6.0,1.0,145.0
4968,5049,Plot  Area,Nelamangala,3 BHK,V2gesre,1200,3.0,2.0,72.0
2914,2941,Super built-up  Area,Abbigere,2 BHK,SLtias ,1005,2.0,1.0,39.59
10518,10879,Super built-up  Area,Ganga Nagar,2 BHK,AlourAr,1250,2.0,2.0,65.0
